locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Xiphophorus_maculatus.X_maculatus.5.0.male.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Oryzias_melastigma.Om_v0.7.RACA.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Lepisosteus_oculatus.LepOcu1.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Danio_rerio.GRCz11.pep.all.vs.Indian.medaka.pep.all.txt.RBH,geneID,diffexpressed,Entrenz_id,Species,gene_name,gene
FQA47_002626,285.5479467,0.566352344,0.147456468,3.84081045,0.000122629,0.024519962,ENSXMAG00000011546,ENSOMEG00000007728,ENSLOCG00000017901,ENSDARG00000003020,ENSOMEG00000007728,UP,112152770,Oryzias melastigma,leucine rich repeat containing 4.2(lrrc4.2),lrrc4.2
FQA47_010330,961.1602722,0.540348425,0.145281421,3.719322279,0.000199758,0.032105416,ENSXMAG00000010040,ENSOMEG00000006900,ENSLOCG00000003951,ENSDARG00000007601,ENSOMEG00000006900,UP,112159359,Oryzias melastigma,protein kinase C-binding protein 1(LOC112159359),LOC112159359
FQA47_018375,247.8516156,0.581004088,0.157367918,3.692011019,0.000222488,0.03445034,ENSXMAG00000005677,ENSOMEG00000011039,ENSLOCG00000004384,ENSDARG00000029905,ENSOMEG00000011039,UP,112163229,Oryzias melastigma,phytanoyl-CoA dioxygenase domain containing 1(phyhd1),phyhd1
FQA47_012686,201.4914951,0.568325305,0.158189997,3.592675373,0.0003273,0.043744538,ENSXMAG00000006270,ENSOMEG00000020996,ENSLOCG00000013027,ENSDARG00000102877,ENSOMEG00000020996,UP,112140070,Oryzias melastigma,valacyclovir hydrolase(LOC112140070),LOC112140070
FQA47_001100,7.437958166,-2.006548386,1.007799488,-1.991019453,0.046478749,0.587467794,ENSXMAG00000017044,ENSOMEG00000010502,ENSLOCG00000000913,ENSDARG00000045822,ENSOMEG00000010502,DOWN,112152147,Oryzias melastigma,"troponin T2d, cardiac(tnnt2d)",tnnt2d
FQA47_016991,82.37358765,0.99160268,0.2826937,3.507692884,0.000452011,0.053888994,ENSXMAG00000019074,ENSOMEG00000007977,ENSLOCG00000016683,ENSDARG00000058666,ENSOMEG00000007977,UP,112152020,Oryzias melastigma,DENN domain-containing protein 2A(si:dkey-82f1.1),si:dkey-82f1.1
FQA47_011194,678.0020929,0.503937246,0.14541996,3.465392541,0.000529458,0.059794058,ENSXMAG00000029722,ENSOMEG00000009796,ENSLOCG00000012968,ENSDARG00000035023,ENSOMEG00000009796,UP,112143439,Oryzias melastigma,"KH domain containing 4, pre-mRNA splicing factor(khdc4)",khdc4
FQA47_024974,295.6608142,0.520017987,0.156485975,3.323096436,0.000890241,0.080738529,ENSXMAG00000019103,ENSOMEG00000015089,ENSLOCG00000016881,ENSDARG00000079753,ENSOMEG00000015089,UP,112144687,Oryzias melastigma,kizuna centrosomal protein(kiz),kiz
FQA47_023503,2.58294827,-4.188880783,2.004554787,-2.089681365,0.036646432,0.535751005,ENSXMAG00000020967,ENSOMEG00000019006,ENSLOCG00000014122,ENSDARG00000070178,ENSOMEG00000019006,DOWN,112136625,Oryzias melastigma,zona pellucida glycoprotein 3d tandem duplicate 2(zp3d.2),zp3d.2
FQA47_020808,31.85795486,1.026937326,0.313103652,3.279863778,0.001038572,0.088809672,ENSXMAG00000018233,ENSOMEG00000002287,ENSLOCG00000001525,ENSDARG00000116896,ENSOMEG00000002287,UP,112144813,Oryzias melastigma,transmembrane protein 233(LOC112144813),LOC112144813
FQA47_007725,63.10452481,0.966099424,0.295535093,3.268983772,0.001079345,0.089279755,ENSXMAG00000006704,ENSOMEG00000004116,ENSLOCG00000006233,ENSDARG00000067670,ENSOMEG00000004116,UP,112148784,Oryzias melastigma,protein-O-mannosyltransferase 1(pomt1),pomt1
FQA47_024158,292.2492757,0.426267212,0.131321672,3.245977652,0.00117048,0.093858609,ENSXMAG00000013505,ENSOMEG00000006477,ENSLOCG00000010048,ENSDARG00000060785,ENSOMEG00000006477,UP,112142605,Oryzias melastigma,pecanex 4(pcnx4),pcnx4
FQA47_023696,373.4343954,0.397234734,0.123347646,3.220448448,0.001279902,0.099090957,ENSXMAG00000000878,ENSOMEG00000018290,ENSLOCG00000006501,ENSDARG00000036212,ENSOMEG00000018290,UP,112163214,Oryzias melastigma,"TBC1 domain family, member 5(tbc1d5)",tbc1d5
FQA47_018037,231.0358381,0.450567231,0.142191118,3.168743855,0.001530993,0.110136049,ENSXMAG00000012004,ENSOMEG00000018461,ENSLOCG00000008200,ENSDARG00000077546,ENSOMEG00000018461,UP,112140229,Oryzias melastigma,palmitoyltransferase ZDHHC1(LOC112140229),LOC112140229
FQA47_000513,13.05413337,-1.286683309,0.650190242,-1.978933587,0.047823484,0.591827268,ENSXMAG00000008835,ENSOMEG00000002452,ENSLOCG00000004605,ENSDARG00000102675,ENSOMEG00000002452,DOWN,112142679,Oryzias melastigma,5-hydroxytryptamine (serotonin) receptor 3A(htr3a),htr3a
FQA47_011024,402.7818693,0.510589867,0.161652926,3.158556288,0.001585527,0.110870316,ENSXMAG00000010983,ENSOMEG00000003065,ENSLOCG00000001615,ENSDARG00000070019,ENSOMEG00000003065,UP,112149479,Oryzias melastigma,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf15)",taf15
FQA47_018855,36.03468934,1.160910293,0.369506479,3.141786027,0.001679207,0.112927993,ENSXMAG00000011909,ENSOMEG00000019129,ENSLOCG00000007901,ENSDARG00000010318,ENSOMEG00000019129,UP,112154740,Oryzias melastigma,sushi-repeat containing protein X-linked(srpx),srpx
FQA47_009438,5.658052373,2.368706035,0.773342802,3.06294444,0.002191707,0.131387525,ENSXMAG00000012828,ENSOMEG00000000410,ENSLOCG00000011686,ENSDARG00000036893,ENSOMEG00000000410,UP,112155626,Oryzias melastigma,coagulation factor XIII A chain(LOC112155626),LOC112155626
FQA47_004544,26.15110976,1.244579266,0.408376869,3.047624288,0.002306581,0.136217029,ENSXMAG00000012036,ENSOMEG00000003458,ENSLOCG00000006051,ENSDARG00000103692,ENSOMEG00000003458,UP,112149080,Oryzias melastigma,"prolyl 4-hydroxylase, alpha polypeptide III(p4ha3)",p4ha3
FQA47_013182,8.804699211,-2.656864129,0.877671279,-3.027174516,0.002468514,0.141502131,ENSXMAG00000001040,ENSOMEG00000021552,ENSLOCG00000017594,ENSDARG00000058857,ENSOMEG00000021552,DOWN,112160326,Oryzias melastigma,protein C19orf12 homolog(LOC112160326),LOC112160326
FQA47_006578,748.1173204,0.425592663,0.141719106,3.003071897,0.002672693,0.149494189,ENSXMAG00000028516,ENSOMEG00000021460,ENSLOCG00000003065,ENSDARG00000015536,ENSOMEG00000021460,UP,112160810,Oryzias melastigma,SRY-box transcription factor 6(sox6),sox6
FQA47_021190,1164.031925,0.297675149,0.100423169,2.964207887,0.003034632,0.163265775,ENSXMAG00000016037,ENSOMEG00000016109,ENSLOCG00000008965,ENSDARG00000062361,ENSOMEG00000016109,UP,112142570,Oryzias melastigma,PAX3 and PAX7 binding protein 1(paxbp1),paxbp1
FQA47_004829,555.8583022,0.319981099,0.107978493,2.963378081,0.003042826,0.163360501,ENSXMAG00000014213,ENSOMEG00000022523,ENSLOCG00000018344,ENSDARG00000079717,ENSOMEG00000022523,UP,112143582,Oryzias melastigma,RNA-binding protein 12B(LOC112143582),LOC112143582
FQA47_001384,8.264406382,-1.473527852,0.698963153,-2.108162421,0.035016943,0.523349058,ENSXMAG00000023432,ENSOMEG00000015101,ENSLOCG00000013581,ENSDARG00000008305,ENSOMEG00000015101,DOWN,112137499,Oryzias melastigma,heart and neural crest derivatives expressed 2(hand2),hand2
FQA47_011336,1727.396296,0.284929408,0.097042687,2.936124464,0.003323409,0.171533862,ENSXMAG00000006131,ENSOMEG00000008956,ENSLOCG00000013534,ENSDARG00000038068,ENSOMEG00000008956,UP,112156969,Oryzias melastigma,probable ATP-dependent RNA helicase DDX5(LOC112156969),LOC112156969
FQA47_017013,95.26286924,1.094350966,0.375113028,2.917389914,0.003529742,0.176925731,ENSXMAG00000007305,ENSOMEG00000004788,ENSLOCG00000014254,ENSDARG00000078227,ENSOMEG00000004788,UP,112152665,Oryzias melastigma,chondroitin sulfate proteoglycan 4(cspg4),cspg4
FQA47_009147,42.31935258,1.583616407,0.543747781,2.912409874,0.003586517,0.17928348,ENSXMAG00000021149,ENSOMEG00000000322,ENSLOCG00000016572,ENSDARG00000052783,ENSOMEG00000000322,UP,112148709,Oryzias melastigma,CDC42 effector protein (Rho GTPase binding) 3(cdc42ep3),cdc42ep3
FQA47_005863,181.5531173,0.610758481,0.210293132,2.904319675,0.003680522,0.182902472,ENSXMAG00000011137,ENSOMEG00000014947,ENSLOCG00000013128,ENSDARG00000079453,ENSOMEG00000014947,UP,112152154,Oryzias melastigma,ATPase phospholipid transporting 8B4(atp8b4),atp8b4
FQA47_023497,14.37669474,-1.248672917,0.590067821,-2.11615152,0.034331923,0.518018331,ENSXMAG00000008994,ENSOMEG00000018059,ENSLOCG00000007878,ENSDARG00000040254,ENSOMEG00000018059,DOWN,112136550,Oryzias melastigma,HORMA domain containing 1(hormad1),hormad1
FQA47_012121,20.26253008,-1.279520293,0.529179042,-2.417934559,0.015608884,0.376421646,ENSXMAG00000020204,ENSOMEG00000012969,ENSLOCG00000008559,ENSDARG00000044298,ENSOMEG00000012969,DOWN,112139815,Oryzias melastigma,phosphorylated adaptor for RNA export(phax),phax
FQA47_024701,84.32258969,0.720199149,0.251125769,2.867882302,0.004132292,0.192542073,ENSXMAG00000015918,ENSOMEG00000022198,ENSLOCG00000014890,ENSDARG00000079835,ENSOMEG00000022198,UP,112152649,Oryzias melastigma,"mannosidase, alpha, class 2C, member 1(man2c1)",man2c1
FQA47_025205,15.60087692,-0.986436229,0.490278458,-2.011991785,0.044220803,0.577942908,ENSXMAG00000002852,ENSOMEG00000004184,ENSLOCG00000012602,ENSDARG00000076974,ENSOMEG00000004184,DOWN,112161414,Oryzias melastigma,PDZ domain-containing protein 7(LOC112161414),LOC112161414
FQA47_007077,1303.821076,0.337669155,0.11787536,2.864628839,0.004174983,0.193196271,ENSXMAG00000023426,ENSOMEG00000012843,ENSLOCG00000004487,ENSDARG00000071272,ENSOMEG00000012843,UP,112158989,Oryzias melastigma,nuclear receptor coactivator 6(ncoa6),ncoa6
FQA47_017180,17.29826631,1.304006199,0.456613117,2.855822905,0.004292545,0.19675972,ENSXMAG00000008080,ENSOMEG00000009675,ENSLOCG00000006428,ENSDARG00000078050,ENSOMEG00000009675,UP,112141383,Oryzias melastigma,PHD finger protein 19(phf19),phf19
FQA47_017839,82.2182115,1.091938526,0.385048737,2.835844976,0.004570462,0.203261514,ENSXMAG00000011720,ENSOMEG00000011331,ENSLOCG00000001996,ENSDARG00000077497,ENSOMEG00000011331,UP,112149239,Oryzias melastigma,"immunoglobulin superfamily, member 10(igsf10)",igsf10
FQA47_011253,1004.566863,0.282189825,0.099554037,2.834539232,0.004589182,0.203737229,ENSXMAG00000019150,ENSOMEG00000018360,ENSLOCG00000007732,ENSDARG00000000189,ENSOMEG00000018360,UP,112136614,Oryzias melastigma,semaphorin 6Cb(sema6cb),sema6cb
FQA47_022640,72.64587953,0.945560233,0.338379011,2.794382048,0.005199901,0.215980102,ENSXMAG00000010271,ENSOMEG00000009916,ENSLOCG00000003941,ENSDARG00000014259,ENSOMEG00000009916,UP,112151371,Oryzias melastigma,EYA transcriptional coactivator and phosphatase 1(eya1),eya1
FQA47_007151,34.16654923,0.827518878,0.296397791,2.791919859,0.005239633,0.216277419,ENSXMAG00000011679,ENSOMEG00000021892,ENSLOCG00000004393,ENSDARG00000073899,ENSOMEG00000021892,UP,112158882,Oryzias melastigma,nuclear envelope integral membrane protein 1(nemp1),nemp1
FQA47_014021,16.68494049,-1.905655131,0.629007659,-3.029621503,0.002448604,0.140997386,ENSXMAG00000017494,ENSOMEG00000023632,ENSLOCG00000002016,ENSDARG00000045589,ENSOMEG00000023632,DOWN,112157271,Oryzias melastigma,potassium inwardly rectifying channel subfamily J member 8(kcnj8),kcnj8
FQA47_013842,16.36208725,-1.200058606,0.572656406,-2.095599722,0.036117714,0.531708625,ENSXMAG00000003601,ENSOMEG00000008652,ENSLOCG00000007645,ENSDARG00000074148,ENSOMEG00000008652,DOWN,112139978,Oryzias melastigma,recombination signal binding protein for immunoglobulin kappa J region-like(rbpjl),rbpjl
FQA47_006280,206.0832301,0.434842342,0.156205492,2.783783945,0.005372881,0.219573941,ENSXMAG00000024729,ENSOMEG00000000914,ENSLOCG00000008959,ENSDARG00000061373,ENSOMEG00000000914,UP,112155079,Oryzias melastigma,zinc finger protein 142(znf142),znf142
FQA47_012845,544.3981517,0.371926287,0.134086878,2.773770955,0.005541068,0.222290473,ENSXMAG00000018356,ENSOMEG00000003235,ENSLOCG00000002749,ENSDARG00000104869,ENSOMEG00000003235,UP,112151227,Oryzias melastigma,AFG2 AAA ATPase homolog A(afg2a),afg2a
FQA47_003674,17.67951234,-0.947362073,0.477001845,-1.986076328,0.047024849,0.589412154,ENSXMAG00000001071,ENSOMEG00000014979,ENSLOCG00000012654,ENSDARG00000046006,ENSOMEG00000014979,DOWN,112144605,Oryzias melastigma,mediator complex subunit 20(med20),med20
FQA47_022453,62.23528928,0.736422813,0.266561371,2.762676415,0.005732957,0.226411684,ENSXMAG00000023204,ENSOMEG00000005206,ENSLOCG00000013015,ENSDARG00000039682,ENSOMEG00000005206,UP,112147072,Oryzias melastigma,dual specificity phosphatase 22b(dusp22b),dusp22b
FQA47_000781,21.22053927,-0.969844416,0.463100162,-2.094243308,0.036238312,0.531928142,ENSXMAG00000013643,ENSOMEG00000005370,ENSLOCG00000012323,ENSDARG00000002593,ENSOMEG00000005370,DOWN,112163239,Oryzias melastigma,solute carrier family 45 member 2(slc45a2),slc45a2
FQA47_013690,243.0505219,0.535574858,0.193928474,2.761713368,0.005749893,0.226727934,ENSXMAG00000013352,ENSOMEG00000006452,ENSLOCG00000002360,ENSDARG00000088844,ENSOMEG00000006452,UP,112139200,Oryzias melastigma,DEAF1 transcription factor(deaf1),deaf1
FQA47_021377,142.1613618,0.528226657,0.19156695,2.75739974,0.005826308,0.227501594,ENSXMAG00000007915,ENSOMEG00000003854,ENSLOCG00000001573,ENSDARG00000076799,ENSOMEG00000003854,UP,112160048,Oryzias melastigma,Rho family GTPase 3a(rnd3a),rnd3a
FQA47_018976,1765.179989,0.262528011,0.095217726,2.757133791,0.005831049,0.227501594,ENSXMAG00000009139,ENSOMEG00000009641,ENSLOCG00000016941,ENSDARG00000039392,ENSOMEG00000009641,UP,112152723,Oryzias melastigma,WNK lysine deficient protein kinase 1a(wnk1a),wnk1a
FQA47_003422,16.7907942,-0.974823896,0.468440769,-2.080997131,0.037434169,0.538427126,ENSXMAG00000028862,ENSOMEG00000008311,ENSLOCG00000017470,ENSDARG00000078991,ENSOMEG00000008311,DOWN,112145245,Oryzias melastigma,probable N-acetyltransferase CML1(LOC112145245),LOC112145245
FQA47_016344,17.52224434,-1.692795528,0.711410528,-2.379491813,0.017336528,0.390287052,ENSXMAG00000013637,ENSOMEG00000010950,ENSLOCG00000018286,ENSDARG00000089553,ENSOMEG00000010950,DOWN,112145931,Oryzias melastigma,claudin 23-like(cldn23l),cldn23l
FQA47_000899,309.4898623,0.437079593,0.158828645,2.751893989,0.00592517,0.230066915,ENSXMAG00000027242,ENSOMEG00000007130,ENSLOCG00000011902,ENSDARG00000052894,ENSOMEG00000007130,UP,112163429,Oryzias melastigma,zinc finger protein 532(znf532),znf532
FQA47_008727,23.75728389,-0.992988846,0.466794658,-2.127249807,0.033399333,0.513534759,ENSXMAG00000015390,ENSOMEG00000000319,ENSLOCG00000015158,ENSDARG00000006137,ENSOMEG00000000319,DOWN,112148952,Oryzias melastigma,steroidogenic acute regulatory protein(star),star
FQA47_011659,22.50136833,-1.04507307,0.455589757,-2.293890618,0.021796782,0.431207491,ENSXMAG00000014927,ENSOMEG00000003603,ENSLOCG00000015123,ENSDARG00000054023,ENSOMEG00000003603,DOWN,112154127,Oryzias melastigma,"tubulin tyrosine ligase-like family, member 6(ttll6)",ttll6
FQA47_011627,292.6831487,0.36829942,0.13399332,2.748640152,0.005984304,0.231311911,ENSXMAG00000008670,ENSOMEG00000021913,ENSLOCG00000006247,ENSDARG00000008568,ENSOMEG00000021913,UP,112147387,Oryzias melastigma,calcium-binding mitochondrial carrier protein SCaMC-1(LOC112147387),LOC112147387
FQA47_025631,26.06563032,1.349916731,0.494632052,2.72913315,0.006350106,0.240319803,ENSXMAG00000008887,ENSOMEG00000001085,ENSLOCG00000011898,ENSDARG00000079765,ENSOMEG00000001085,UP,112144790,Oryzias melastigma,EF-hand and coiled-coil domain-containing protein 1(si:ch211-112f3.4),si:ch211-112f3.4
FQA47_020357,2367.713706,0.278298001,0.102384905,2.718154607,0.006564716,0.246969461,ENSXMAG00000021924,ENSOMEG00000013406,ENSLOCG00000010854,ENSDARG00000102081,ENSOMEG00000013406,UP,112138873,Oryzias melastigma,myosin phosphatase Rho interacting protein(mprip),mprip
FQA47_008710,651.585645,0.256037653,0.094577635,2.707169137,0.006785967,0.249645585,ENSXMAG00000018688,ENSOMEG00000012529,ENSLOCG00000015151,ENSDARG00000078815,ENSOMEG00000012529,UP,112148836,Oryzias melastigma,G protein-coupled receptor kinase 5 like(grk5l),grk5l
FQA47_016624,25.44612054,-1.225185142,0.531088019,-2.306934253,0.021058486,0.427434898,ENSXMAG00000027887,ENSOMEG00000015571,ENSLOCG00000015092,ENSDARG00000028614,ENSOMEG00000015571,DOWN,112153343,Oryzias melastigma,motile sperm domain containing 1(mospd1),mospd1
